,,In any state\1\,In their home state,,To freshman enrollment (col. 4/col. 2)  ,To residents enrolled in any state (col. 4/col. 3) ,Out of state (col. 3 - col. 4) ,Into state/2/ (col. 2 - col. 4) ,Net (col. 8 - col. 7)
Alabama ...........................,42737.00,37769.00,34074.00,,0.80,0.90,3695.00,8663.00,4968.00
Alaska ............................,2760.00,4313.00,2430.00,,0.88,0.56,1883.00,330.00,-1553.00
Arizona ............................,50521.00,40036.00,35972.00,,0.71,0.90,4064.00,14549.00,10485.00
Arkansas ...........................,24110.00,22715.00,20162.00,,0.84,0.89,2553.00,3948.00,1395.00
California .........................,259869.00,253474.00,230354.00,,0.89,0.91,23120.00,29515.00,6395.00
Colorado ...........................,45341.00,44616.00,37398.00,,0.82,0.84,7218.00,7943.00,725.00
Connecticut .........................,27295.00,32649.00,18771.00,,0.69,0.57,13878.00,8524.00,-5354.00
Delaware ............................,8253.00,6827.00,4846.00,,0.59,0.71,1981.00,3407.00,1426.00
District of Columbia ................,11350.00,3912.00,1055.00,,0.09,0.27,2857.00,10295.00,7438.00
Florida ............................,138561.00,120899.00,109133.00,,0.79,0.90,11766.00,29428.00,17662.00
Georgia .............................,83314.00,80377.00,69428.00,,0.83,0.86,10949.00,13886.00,2937.00
Hawaii ...............................,8492.00,8832.00,6057.00,,0.71,0.69,2775.00,2435.00,-340.00
Idaho ..............................,11801.00,11339.00,8525.00,,0.72,0.75,2814.00,3276.00,462.00
Illinois ...........................,103212.00,114285.00,90951.00,,0.88,0.80,23334.00,12261.00,-11073.00
Indiana .............................,61520.00,54805.00,47980.00,,0.78,0.88,6825.00,13540.00,6715.00
Iowa ...............................,43352.00,35152.00,31128.00,,0.72,0.89,4024.00,12224.00,8200.00
Kansas ..............................,28393.00,26673.00,22970.00,,0.81,0.86,3703.00,5423.00,1720.00
Kentucky ...........................,39485.00,34718.00,30891.00,,0.78,0.89,3827.00,8594.00,4767.00
Louisiana ..........................,43572.00,40910.00,37168.00,,0.85,0.91,3742.00,6404.00,2662.00
Maine ...............................,10760.00,11860.00,7846.00,,0.73,0.66,4014.00,2914.00,-1100.00
Maryland ...........................,45815.00,53336.00,36575.00,,0.80,0.69,16761.00,9240.00,-7521.00
Massachusetts ......................,70869.00,61944.00,44207.00,,0.62,0.71,17737.00,26662.00,8925.00
Michigan ..........................,88078.00,88279.00,79810.00,,0.91,0.90,8469.00,8268.00,-201.00
Minnesota ...........................,61042.00,62798.00,50355.00,,0.82,0.80,12443.00,10687.00,-1756.00
Mississippi ........................,33646.00,30686.00,28659.00,,0.85,0.93,2027.00,4987.00,2960.00
Missouri..........................,51431.00,49183.00,41537.00,,0.81,0.84,7646.00,9894.00,2248.00
Montana ...........................,8484.00,8593.00,6428.00,,0.76,0.75,2165.00,2056.00,-109.00
Nebraska ..........................,18855.00,18728.00,15480.00,,0.82,0.83,3248.00,3375.00,127.00
Nevada .............................,13995.00,14332.00,12013.00,,0.86,0.84,2319.00,1982.00,-337.00
New Hampshire .....................,12420.00,11828.00,6495.00,,0.52,0.55,5333.00,5925.00,592.00
New Jersey ........................,57564.00,84556.00,53103.00,,0.92,0.63,31453.00,4461.00,-26992.00
New Mexico ........................,16827.00,16950.00,13913.00,,0.83,0.82,3037.00,2914.00,-123.00
New York ..........................,180253.00,176350.00,146818.00,,0.81,0.83,29532.00,33435.00,3903.00
North Carolina ...................,81444.00,71834.00,65215.00,,0.80,0.91,6619.00,16229.00,9610.00
North Dakota ......................,9477.00,7711.00,5504.00,,0.58,0.71,2207.00,3973.00,1766.00
Ohio ..............................,104334.00,105975.00,90920.00,,0.87,0.86,15055.00,13414.00,-1641.00
Oklahoma ..........................,34948.00,31937.00,28856.00,,0.83,0.90,3081.00,6092.00,3011.00
Oregon ............................,28402.00,27076.00,22338.00,,0.79,0.83,4738.00,6064.00,1326.00
Pennsylvania .....................,132339.00,119658.00,101314.00,,0.77,0.85,18344.00,31025.00,12681.00
Rhode Island .....................,15388.00,9209.00,6246.00,,0.41,0.68,2963.00,9142.00,6179.00
South Carolina ....................,37868.00,34340.00,30641.00,,0.81,0.89,3699.00,7227.00,3528.00
South Dakota .....................,9076.00,8920.00,6687.00,,0.74,0.75,2233.00,2389.00,156.00
Tennessee ........................,47991.00,45448.00,38202.00,,0.80,0.84,7246.00,9789.00,2543.00
Texas ............................,205221.00,208106.00,189462.00,,0.92,0.91,18644.00,15759.00,-2885.00
Utah ..............................,26787.00,20301.00,18722.00,,0.70,0.92,1579.00,8065.00,6486.00
Vermont ...........................,6343.00,4750.00,2013.00,,0.32,0.42,2737.00,4330.00,1593.00
Virginia ..........................,66621.00,61956.00,50453.00,,0.76,0.81,11503.00,16168.00,4665.00
Washington ........................,37393.00,40604.00,32291.00,,0.86,0.80,8313.00,5102.00,-3211.00
West Virginia .....................,16602.00,13989.00,12026.00,,0.72,0.86,1963.00,4576.00,2613.00
Wisconsin .........................,55331.00,56165.00,46809.00,,0.85,0.83,9356.00,8522.00,-834.00
Wyoming ...........................,6519.00,4606.00,3231.00,,0.50,0.70,1375.00,3288.00,1913.00
