,,In any state\1\,"In their
 home state",,To first-time enrollment (col. 4/ col. 2),To residents enrolled in any state (col. 4/ col. 3),Out of state (col. 3 - col. 4),Into state\2\ (col. 2 - col. 4),Net (col. 8 - col. 7)
Alabama ................,25181.00,17640.00,14645.00,,0.58,0.83,2995.00,10536.00,7541.00
Alaska .................,2434.00,3249.00,2156.00,,0.89,0.66,1093.00,278.00,-815.00
Arizona ................,25996.00,19267.00,14921.00,,0.57,0.77,4346.00,11075.00,6729.00
Arkansas ...............,17079.00,13621.00,11925.00,,0.70,0.88,1696.00,5154.00,3458.00
California .............,133112.00,148095.00,112619.00,,0.85,0.76,35476.00,20493.00,-14983.00
Colorado ...............,24081.00,25035.00,16744.00,,0.70,0.67,8291.00,7337.00,-954.00
Connecticut ............,19450.00,24735.00,10370.00,,0.53,0.42,14365.00,9080.00,-5285.00
Delaware ...............,5923.00,4229.00,2253.00,,0.38,0.53,1976.00,3670.00,1694.00
District of Columbia .......,8564.00,2220.00,419.00,,0.05,0.19,1801.00,8145.00,6344.00
Florida ............................,106116.00,104568.00,91488.00,,0.86,0.87,13080.00,14628.00,1548.00
Georgia .............................,52526.00,53852.00,43267.00,,0.82,0.80,10585.00,9259.00,-1326.00
Hawaii ...............................,4034.00,5551.00,2473.00,,0.61,0.45,3078.00,1561.00,-1517.00
Idaho ..............................,7321.00,6411.00,4197.00,,0.57,0.65,2214.00,3124.00,910.00
Illinois ...........................,48493.00,65553.00,36006.00,,0.74,0.55,29547.00,12487.00,-17060.00
Indiana .............................,45702.00,37731.00,32104.00,,0.70,0.85,5627.00,13598.00,7971.00
Iowa ...............................,20223.00,13528.00,10570.00,,0.52,0.78,2958.00,9653.00,6695.00
Kansas ..............................,15577.00,13737.00,10665.00,,0.68,0.78,3072.00,4912.00,1840.00
Kentucky ...........................,24088.00,20180.00,17310.00,,0.72,0.86,2870.00,6778.00,3908.00
Louisiana ..........................,23470.00,21528.00,18938.00,,0.81,0.88,2590.00,4532.00,1942.00
Maine ...............................,7022.00,6497.00,3802.00,,0.54,0.59,2695.00,3220.00,525.00
Maryland ...........................,18405.00,27286.00,11962.00,,0.65,0.44,15324.00,6443.00,-8881.00
Massachusetts ......................,51769.00,43745.00,25288.00,,0.49,0.58,18457.00,26481.00,8024.00
Michigan ..........................,51500.00,50081.00,42418.00,,0.82,0.85,7663.00,9082.00,1419.00
Minnesota ...........................,25318.00,30682.00,18093.00,,0.71,0.59,12589.00,7225.00,-5364.00
Mississippi ........................,12359.00,8668.00,7195.00,,0.58,0.83,1473.00,5164.00,3691.00
Missouri .........................,30057.00,26317.00,19728.00,,0.66,0.75,6589.00,10329.00,3740.00
Montana ...........................,6115.00,4729.00,3703.00,,0.61,0.78,1026.00,2412.00,1386.00
Nebraska ..........................,11478.00,10354.00,8241.00,,0.72,0.80,2113.00,3237.00,1124.00
Nevada .............................,10290.00,11320.00,8419.00,,0.82,0.74,2901.00,1871.00,-1030.00
New Hampshire .....................,8924.00,7467.00,3015.00,,0.34,0.40,4452.00,5909.00,1457.00
New Jersey ........................,29037.00,56224.00,24696.00,,0.85,0.44,31528.00,4341.00,-27187.00
New Mexico ........................,6802.00,6978.00,5305.00,,0.78,0.76,1673.00,1497.00,-176.00
New York ..........................,107041.00,102542.00,73743.00,,0.69,0.72,28799.00,33298.00,4499.00
North Carolina ...................,47250.00,41419.00,34266.00,,0.73,0.83,7153.00,12984.00,5831.00
North Dakota ......................,6502.00,3919.00,3105.00,,0.48,0.79,814.00,3397.00,2583.00
Ohio ..............................,68568.00,63250.00,52069.00,,0.76,0.82,11181.00,16499.00,5318.00
Oklahoma ..........................,19484.00,15407.00,13276.00,,0.68,0.86,2131.00,6208.00,4077.00
Oregon ............................,15692.00,12331.00,8590.00,,0.55,0.70,3741.00,7102.00,3361.00
Pennsylvania .....................,82947.00,68021.00,52369.00,,0.63,0.77,15652.00,30578.00,14926.00
Rhode Island .....................,11205.00,5403.00,2751.00,,0.25,0.51,2652.00,8454.00,5802.00
South Carolina ....................,24236.00,17933.00,15129.00,,0.62,0.84,2804.00,9107.00,6303.00
South Dakota .....................,5850.00,4629.00,3366.00,,0.58,0.73,1263.00,2484.00,1221.00
Tennessee ........................,30051.00,28286.00,22031.00,,0.73,0.78,6255.00,8020.00,1765.00
Texas ............................,102412.00,113341.00,93438.00,,0.91,0.82,19903.00,8974.00,-10929.00
Utah ..............................,18321.00,13289.00,11921.00,,0.65,0.90,1368.00,6400.00,5032.00
Vermont ...........................,6273.00,3425.00,1507.00,,0.24,0.44,1918.00,4766.00,2848.00
Virginia ..........................,43326.00,39713.00,29548.00,,0.68,0.74,10165.00,13778.00,3613.00
Washington ........................,26452.00,28394.00,20189.00,,0.76,0.71,8205.00,6263.00,-1942.00
West Virginia .....................,12119.00,7835.00,6954.00,,0.57,0.89,881.00,5165.00,4284.00
Wisconsin .........................,35148.00,32245.00,25148.00,,0.72,0.78,7097.00,10000.00,2903.00
Wyoming ...........................,1488.00,1428.00,777.00,,0.52,0.54,651.00,711.00,60.00
