,,In any state\1\,In their home state,,To freshman enrollment (col. 4/col. 2)  ,To residents enrolled in any state (col. 4/col. 3) ,Out of state (col. 3 - col. 4) ,Into state/2/ (col. 2 - col. 4) ,Net (col. 8 - col. 7)
Alabama ...........................,36881.00,33053.00,30178.00,0.82,0.91,2875.00,6703.00,,3828.00
Alaska ............................,1946.00,3387.00,1682.00,0.86,0.50,1705.00,264.00,,-1441.00
Arizona ............................,34421.00,29933.00,27187.00,0.79,0.91,2746.00,7234.00,,4488.00
Arkansas ...........................,18388.00,17838.00,15659.00,0.85,0.88,2179.00,2729.00,,550.00
California .........................,277399.00,277373.00,259696.00,0.94,0.94,17677.00,17703.00,,26.00
Colorado ...........................,31816.00,29815.00,24560.00,0.77,0.82,5255.00,7256.00,,2001.00
Connecticut .........................,21169.00,25336.00,14088.00,0.67,0.56,11248.00,7081.00,,-4167.00
Delaware ............................,7854.00,6224.00,4667.00,0.59,0.75,1557.00,3187.00,,1630.00
District of Columbia ................,8645.00,2898.00,1298.00,0.15,0.45,1600.00,7347.00,,5747.00
Florida ............................,72465.00,68530.00,58096.00,0.80,0.85,10434.00,14369.00,,3935.00
Georgia .............................,53393.00,50602.00,43575.00,0.82,0.86,7027.00,9818.00,,2791.00
Hawaii ...............................,9519.00,9936.00,7611.00,0.80,0.77,2325.00,1908.00,,-417.00
Idaho ..............................,10664.00,10393.00,8052.00,0.76,0.77,2341.00,2612.00,,271.00
Illinois ...........................,106362.00,115198.00,97158.00,0.91,0.84,18040.00,9204.00,,-8836.00
Indiana..............................,51108.00,45746.00,40309.00,0.79,0.88,5437.00,10799.00,,5362.00
Iowa ...............................,39449.00,34939.00,31469.00,0.80,0.90,3470.00,7980.00,,4510.00
Kansas ..............................,27581.00,26049.00,23443.00,0.85,0.90,2606.00,4138.00,,1532.00
Kentucky ...........................,28546.00,27554.00,24043.00,0.84,0.87,3511.00,4503.00,,992.00
Louisiana ..........................,31710.00,30869.00,26884.00,0.85,0.87,3985.00,4826.00,,841.00
Maine ...............................,8349.00,9682.00,5935.00,0.71,0.61,3747.00,2414.00,,-1333.00
Maryland ...........................,33198.00,37453.00,26115.00,0.79,0.70,11338.00,7083.00,,-4255.00
Massachusetts ......................,62356.00,53067.00,39240.00,0.63,0.74,13827.00,23116.00,,9289.00
Michigan ..........................,76216.00,75980.00,68959.00,0.90,0.91,7021.00,7257.00,,236.00
Minnesota ...........................,51137.00,50751.00,41458.00,0.81,0.82,9293.00,9679.00,,386.00
Mississippi ........................,27669.00,25615.00,23828.00,0.86,0.93,1787.00,3841.00,,2054.00
Missouri..........................,38484.00,36102.00,30174.00,0.78,0.84,5928.00,8310.00,,2382.00
Montana ...........................,7872.00,8259.00,6227.00,0.79,0.75,2032.00,1645.00,,-387.00
Nebraska ..........................,17136.00,16600.00,14051.00,0.82,0.85,2549.00,3085.00,,536.00
Nevada .............................,7254.00,6891.00,5040.00,0.69,0.73,1851.00,2214.00,,363.00
New Hampshire .....................,10872.00,9199.00,5301.00,0.49,0.58,3898.00,5571.00,,1673.00
New Jersey ........................,45899.00,65904.00,41465.00,0.90,0.63,24439.00,4434.00,,-20005.00
New Mexico ........................,12464.00,12997.00,10209.00,0.82,0.79,2788.00,2255.00,,-533.00
New York ..........................,151388.00,154632.00,127503.00,0.84,0.82,27129.00,23885.00,,-3244.00
North Carolina ...................,53751.00,45918.00,42056.00,0.78,0.92,3862.00,11695.00,,7833.00
North Dakota ......................,8495.00,7358.00,5711.00,0.67,0.78,1647.00,2784.00,,1137.00
Ohio ..............................,90806.00,88056.00,77345.00,0.85,0.88,10711.00,13461.00,,2750.00
Oklahoma ..........................,28654.00,27847.00,25068.00,0.87,0.90,2779.00,3586.00,,807.00
Oregon ............................,22126.00,21101.00,17308.00,0.78,0.82,3793.00,4818.00,,1025.00
Pennsylvania .....................,102447.00,94108.00,78863.00,0.77,0.84,15245.00,23584.00,,8339.00
Rhode Island .....................,12643.00,8203.00,5514.00,0.44,0.67,2689.00,7129.00,,4440.00
South Carolina ....................,30719.00,27991.00,24795.00,0.81,0.89,3196.00,5924.00,,2728.00
South Dakota .....................,5769.00,6004.00,4196.00,0.73,0.70,1808.00,1573.00,,-235.00
Tennessee ........................,36516.00,33853.00,28805.00,0.79,0.85,5048.00,7711.00,,2663.00
Texas ............................,137610.00,137449.00,126346.00,0.92,0.92,11103.00,11264.00,,161.00
Utah ..............................,25732.00,19681.00,18408.00,0.72,0.94,1273.00,7324.00,,6051.00
Vermont ...........................,6551.00,4632.00,2597.00,0.40,0.56,2035.00,3954.00,,1919.00
Virginia ..........................,46961.00,42418.00,34023.00,0.72,0.80,8395.00,12938.00,,4543.00
Washington ........................,85536.00,80368.00,74719.00,0.87,0.93,5649.00,10817.00,,5168.00
West Virginia......................,15655.00,14049.00,11785.00,0.75,0.84,2264.00,3870.00,,1606.00
Wisconsin .........................,50136.00,49646.00,42350.00,0.84,0.85,7296.00,7786.00,,490.00
Wyoming ...........................,4458.00,4446.00,3296.00,0.74,0.74,1150.00,1162.00,,12.00
